Adaptive Defrost,ApplStandard,Brand,CEC_,CompartGrVol,CompartNetVol,CompartType,Configuration,Country,Depth,Designation,FF Vol,FZ Vol,Group,Height,Icemaker,MEPSApproval,Model No,Family Name,N-Standard,Star2009,SRI2009,No_Doors,S-MEPS_Ad,S-MEPScutoff,Sold_in,Submit_ID,SubmitStatus,Tot Vol,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Fixed MEPS allowance factor,Variable MEPS allowance factor,Adjusted volume,Type,Star Rating (old),Star Image Large,Star Image Small,Registration Number
,AS/NZS 4474.2:2009,FISHER & PAYKEL,296,"109.0,6.0","101.0,6.0","Fresh Food,Ice making",Upright,New Zealand,575.0,Refrigerator,109,0,2,819.0,False,MEPS 2010,P120R,,AS/NZS 4474.1:2007,1.0,1.01,,,343.906,"Australia,Fiji,New Zealand",49293,Superseded,115.0,525.0,,2011-12-01,Class 2,Unavailable,,http://www.fisherpaykel.com,308.0,0.309,116.2,2,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,ZRF0256
,AS/NZS 4474.2:2009,FISHER & PAYKEL,296,"109.0,6.0","101.0,6.0","Fresh Food,Ice making",Upright,New Zealand,575.0,Refrigerator,109,0,2,819.0,False,MEPS 2010,P120RS,,AS/NZS 4474.1:2007,1.0,1.01,,,343.906,"Australia,Fiji,New Zealand",49293,Superseded,115.0,525.0,,2011-12-01,Class 2,Unavailable,,http://www.fisherpaykel.com,308.0,0.309,116.2,2,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,ZRF0256
False,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,386,153.0,107.0,Freezer,Upright,New Zealand,570.0,Freezer,0,153,7,1207.0,False,MEPS 2010,E150L,,AS/NZS 4474.1:2007/Amdt 2:2011,1.5,1.5778,,,508.827,"Australia,Fiji,New Zealand",49294,Approved,153.0,525.0,,,Class 10,Available,,http://www.fisherpaykel.com,383.0,0.514,244.8,7,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,ZRF0255
False,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,386,153.0,107.0,Freezer,Upright,New Zealand,570.0,Freezer,0,153,7,1207.0,False,MEPS 2010,E150R,,AS/NZS 4474.1:2007/Amdt 2:2011,1.5,1.5778,,,508.827,"Australia,Fiji,New Zealand",49294,Approved,153.0,525.0,,,Class 10,Available,,http://www.fisherpaykel.com,383.0,0.514,244.8,7,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,ZRF0255
False,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,481,213.0,152.0,Freezer,Upright,New Zealand,570.0,Freezer,0,213,7,1595.0,False,MEPS 2010,E210L,,AS/NZS 4474.1:2007/Amdt 2:2011,1.0,1.3211,,,558.171,"Australia,Fiji,New Zealand",49297,Approved,213.0,525.0,,,Class 10,Available,,http://www.fisherpaykel.com,383.0,0.514,340.8,7,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,ZRF0254
False,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,481,213.0,152.0,Freezer,Upright,New Zealand,570.0,Freezer,0,213,7,1595.0,False,MEPS 2010,E210LS,,AS/NZS 4474.1:2007/Amdt 2:2011,1.0,1.3211,,,558.171,"Australia,Fiji,New Zealand",49297,Approved,213.0,525.0,,,Class 10,Available,,http://www.fisherpaykel.com,383.0,0.514,340.8,7,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,ZRF0254
False,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,481,213.0,152.0,Freezer,Upright,New Zealand,570.0,Freezer,0,213,7,1595.0,False,MEPS 2010,E210R,,AS/NZS 4474.1:2007/Amdt 2:2011,1.0,1.3211,,,558.171,"Australia,Fiji,New Zealand",49297,Approved,213.0,525.0,,,Class 10,Available,,http://www.fisherpaykel.com,383.0,0.514,340.8,7,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,ZRF0254
False,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,559,304.0,237.0,Freezer,Upright,New Zealand,694.0,Freezer,0,304,7,1425.0,False,MEPS 2010,E308L,,AS/NZS 4474.1:2007/Amdt 2:2011,1.0,1.418,,,633.01,"Australia,Fiji,New Zealand",49298,Approved,304.0,635.0,,,Class 10,Available,,http://www.fisherpaykel.com,383.0,0.514,486.4,7,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,ZRF0253
False,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,559,304.0,237.0,Freezer,Upright,New Zealand,694.0,Freezer,0,304,7,1425.0,False,MEPS 2010,E308R,,AS/NZS 4474.1:2007/Amdt 2:2011,1.0,1.418,,,633.01,"Australia,Fiji,New Zealand",49298,Approved,304.0,635.0,,,Class 10,Available,,http://www.fisherpaykel.com,383.0,0.514,486.4,7,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,ZRF0253
False,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,616,389.0,288.0,Freezer,Upright,New Zealand,694.0,Freezer,0,389,7,1695.0,False,MEPS 2010,E388L,,AS/NZS 4474.1:2007/Amdt 2:2011,1.5,1.5357,,,702.914,"Australia,Fiji,New Zealand",49299,Approved,389.0,635.0,,,Class 10,Available,,http://www.fisherpaykel.com,383.0,0.514,622.4,7,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,ZRF0252
False,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,616,389.0,288.0,Freezer,Upright,New Zealand,694.0,Freezer,0,389,7,1695.0,False,MEPS 2010,E388LM,,AS/NZS 4474.1:2007/Amdt 2:2011,1.5,1.5357,,,702.914,"Australia,Fiji,New Zealand",49299,Approved,389.0,635.0,,,Class 10,Available,,http://www.fisherpaykel.com,383.0,0.514,622.4,7,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,ZRF0252
False,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,616,389.0,288.0,Freezer,Upright,New Zealand,694.0,Freezer,0,389,7,1695.0,False,MEPS 2010,E388LXFD,,AS/NZS 4474.1:2007/Amdt 2:2011,1.5,1.5357,,,702.914,"Australia,Fiji,New Zealand",49299,Approved,389.0,635.0,,,Class 10,Available,,http://www.fisherpaykel.com,383.0,0.514,622.4,7,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,ZRF0252
False,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,616,389.0,288.0,Freezer,Upright,New Zealand,694.0,Freezer,0,389,7,1695.0,False,MEPS 2010,E388R,,AS/NZS 4474.1:2007/Amdt 2:2011,1.5,1.5357,,,702.914,"Australia,Fiji,New Zealand",49299,Approved,389.0,635.0,,,Class 10,Available,,http://www.fisherpaykel.com,383.0,0.514,622.4,7,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,ZRF0252
False,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,616,389.0,288.0,Freezer,Upright,New Zealand,694.0,Freezer,0,389,7,1695.0,False,MEPS 2010,E388RM,,AS/NZS 4474.1:2007/Amdt 2:2011,1.5,1.5357,,,702.914,"Australia,Fiji,New Zealand",49299,Approved,389.0,635.0,,,Class 10,Available,,http://www.fisherpaykel.com,383.0,0.514,622.4,7,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,ZRF0252
False,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,616,389.0,288.0,Freezer,Upright,New Zealand,694.0,Freezer,0,389,7,1695.0,False,MEPS 2010,E388RXFD,,AS/NZS 4474.1:2007/Amdt 2:2011,1.5,1.5357,,,702.914,"Australia,Fiji,New Zealand",49299,Approved,389.0,635.0,,,Class 10,Available,,http://www.fisherpaykel.com,383.0,0.514,622.4,7,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,ZRF0252
False,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,347,"115.0,57.0","108.0,46.0","Fresh Food,Freezer",Upright,New Zealand,570.0,Refrigerator/Freezer,115,57,5T,1197.0,False,MEPS 2010,E169TL,,AS/NZS 4474.1:2007/Amdt 2:2011,2.0,2.1005,,,413.181,"Australia,Fiji,New Zealand",49306,Approved,172.0,525.0,,,Class 5,Available,,http://www.fisherpaykel.com,334.0,0.384,206.2,5T,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ZRF0251
