Submit_ID,Brand_Reg,Model_No,Family Name,SoldIn,Country,screensize,Screen_Area,Screen_Tech,Pasv_stnd_power,Act_stnd_power,Act_stnd_time,Avg_mode_power,Star,SRI,CEC,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Star2,Product Website,Representative Brand URL,Star Rating Index,Star Image Large,Star Image Small,Power supply,Tuner Type,What test standard was used,Registration Number
84477,Panasonic,TH-85X940Z,,New Zealand,Japan,214.783,19712.16,LCD (LED),0.3,34.0,0.15,325.0,6.0,6.11407290012805,1190.0,Approved,2114-09-23,,Single product class,Available,3.0,http://www.panasonic.co.nz/,http://www.panasonic.co.nz,3.112,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ZTV0201
84483,KONKA,KDL40ES620A,,New Zealand,China,101.612,4412.0592,LCD (LED),0.25,0.0,0.0,63.1,6.0,6.81280040506544,255.0,Approved,2114-09-23,,Single product class,Available,4.5,,,4.81280040506544,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,Internal,Digital,AS/NZS 62087.1:2010,ZTV0202
84485,KONKA,KDL40MT627AN,,New Zealand,China,101.612,4412.0592,LCD (LED),0.37,0.0,0.0,60.9,7.0,7.37370903189715,225.0,Approved,2114-09-23,,Single product class,Available,5.0,,,5.37370903189715,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,Internal,Digital,AS/NZS 62087.1:2010,ZTV0203
84503,Palsonic,TFTV6055M,TFTV6055M/W,Australia,China,59.809,1528.497216,LCD (LED),,,,24.9,,,93.0,Approved,2019-09-23,,Single product class,Available,4.5,,,4.61096448319133,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,EPS,Analogue/Digital,AS/NZS 62087.1:2010,ATV1076
84503,Palsonic,TFTV6055MW,TFTV6055M/W,Australia,China,59.809,1528.497216,LCD (LED),,,,24.9,,,93.0,Approved,2019-09-23,,Single product class,Available,4.5,,,4.61096448319133,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,EPS,Analogue/Digital,AS/NZS 62087.1:2010,ATV1076
84503,Palsonic,TFTV6055M/W,TFTV6055M/W,Australia,China,59.809,1528.497216,LCD (LED),,,,24.9,,,93.0,Approved,2019-09-23,,Single product class,Available,4.5,,,4.61096448319133,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,EPS,Analogue/Digital,AS/NZS 62087.1:2010,ATV1076
84587,SONIQ,S48V14A-AU,S48V14A-AU,"Australia,New Zealand",China,120.94,6249.851136,LCD (LED),,,,77.89,,,330.0,Approved,2019-09-29,,Single product class,Available,4.0,,,4.03197265832877,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1088
84587,SONIQ,S48V14A-NZ,S48V14A-AU,"Australia,New Zealand",China,120.94,6249.851136,LCD (LED),,,,77.89,,,330.0,Approved,2019-09-29,,Single product class,Available,4.0,,,4.03197265832877,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1088
84587,BEXA,BXE4814AU,S48V14A-AU,"Australia,New Zealand",China,120.94,6249.851136,LCD (LED),,,,77.89,,,330.0,Approved,2019-09-29,,Single product class,Available,4.0,,,4.03197265832877,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1088
84587,BEXA,BXE4814NZ,S48V14A-AU,"Australia,New Zealand",China,120.94,6249.851136,LCD (LED),,,,77.89,,,330.0,Approved,2019-09-29,,Single product class,Available,4.0,,,4.03197265832877,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1088
