Record ID,Status,Brand Name,Model Number,Family Name,Selling Countries,Manufacturing Countries,Screen Size,Screen Technology,Comparative Energy Consumption,Active Standby Power,Star Rating Index,Star Rating,Product Website,Representative Brand URL,Availability Status,Expiry Date,Star Image Large,Star Image Small
115525,Approved,PHILIPS,273V5L,,"Australia,New Zealand",China,68.589,LCD (LED),106.0,1.0,4.90054781462238,4.5,,http://www.philips.com/,Available,2023-08-02,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
115526,Approved,AOC,190LM00014,,"Australia,New Zealand",China,48.193,LCD (LED),70.0,0.32,5.00861893476197,5.0,,http://www.aocmonitorap.com/,Available,2023-08-06,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
115527,Approved,AOC,240LM00010,,"Australia,New Zealand",China,60.969,LCD (LED),90.0,0.69,4.87667520066636,4.5,,http://www.aocmonitorap.com/,Available,2023-08-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
115528,Approved,AOC,236LM00006,,"Australia,New Zealand",China,59.81,LCD (LED),85.0,0.66,5.01396860082843,5.0,,http://www.aocmonitorap.com/,Available,2023-08-15,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
115529,Approved,AOC,195LM00001,,"Australia,New Zealand",China,49.407,LCD (LED),51.0,0.28,6.1836494389938,6.0,,http://www.aocmonitorap.com/,Available,2023-08-02,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png
115530,Approved,PHILIPS,243V5L,,"Australia,New Zealand",China,59.809,LCD (LED),94.0,1.0,4.56303439937866,4.5,,http://www.philips.com/,Available,2023-08-15,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
115531,Approved,PHILIPS,200V4L,,"Australia,New Zealand",China,49.565,LCD (LED),85.0,0.23,3.93041081072188,3.5,,http://www.philips.com/,Available,2023-08-20,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png
115534,Approved,hp,HSTND-3431-A,"L6017tm, HSTND-3431-A","Australia,New Zealand",China,43.271,LCD (LED),74.0,0.7,4.18778730007717,4.0,,http://www.hp.com/,Available,2023-08-21,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
115534,Approved,hp,L6017tm,"L6017tm, HSTND-3431-A","Australia,New Zealand",China,43.271,LCD (LED),74.0,0.7,4.18778730007717,4.0,,http://www.hp.com/,Available,2023-08-21,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
115534,Approved,hp,"L6017tm, HSTND-3431-A","L6017tm, HSTND-3431-A","Australia,New Zealand",China,43.271,LCD (LED),74.0,0.7,4.18778730007717,4.0,,http://www.hp.com/,Available,2023-08-21,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
115545,Approved,DELL,P2219H,,"Australia,Fiji,New Zealand",China,54.683,LCD (LED),59.0,0.22,6.11546716712925,6.0,,,Available,2023-07-17,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png
115555,Approved,KOGAN,HJ3218W01,KAMN32UHDMA,"Australia,Fiji,New Zealand",China,81.287,LCD (LED),139.0,0.35,4.86273673018647,4.5,,,Available,2023-07-19,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
115555,Approved,KOGAN,KAMN32UHDMA,KAMN32UHDMA,"Australia,Fiji,New Zealand",China,81.287,LCD (LED),139.0,0.35,4.86273673018647,4.5,,,Available,2023-07-19,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
115555,Approved,KOGAN,KAMN32UHDMB,KAMN32UHDMA,"Australia,Fiji,New Zealand",China,81.287,LCD (LED),139.0,0.35,4.86273673018647,4.5,,,Available,2023-07-19,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
115555,Approved,KOGAN,KAMN32UHDMC,KAMN32UHDMA,"Australia,Fiji,New Zealand",China,81.287,LCD (LED),139.0,0.35,4.86273673018647,4.5,,,Available,2023-07-19,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
115558,Approved,hp,HSTND-3451-A,"L6010, HSTND-3451-A","Australia,New Zealand",China,26.3,LCD (LED),32.0,0.5,5.94289950720585,5.5,,http://www.hp.com/,Available,2023-07-16,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png
115558,Approved,hp,L6010,"L6010, HSTND-3451-A","Australia,New Zealand",China,26.3,LCD (LED),32.0,0.5,5.94289950720585,5.5,,http://www.hp.com/,Available,2023-07-16,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png
115558,Approved,hp,"L6010, HSTND-3451-A","L6010, HSTND-3451-A","Australia,New Zealand",China,26.3,LCD (LED),32.0,0.5,5.94289950720585,5.5,,http://www.hp.com/,Available,2023-07-16,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png
115559,Approved,hp,HSTND-3441-A,"L6015tm, HSTND-3441-A","Australia,New Zealand",China,38.014,LCD (LED),60.0,0.7,4.47177830806866,4.0,,http://www.hp.com/,Available,2023-07-16,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
115559,Approved,hp,L6015tm,"L6015tm, HSTND-3441-A","Australia,New Zealand",China,38.014,LCD (LED),60.0,0.7,4.47177830806866,4.0,,http://www.hp.com/,Available,2023-07-16,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
115559,Approved,hp,"L6015tm, HSTND-3441-A","L6015tm, HSTND-3441-A","Australia,New Zealand",China,38.014,LCD (LED),60.0,0.7,4.47177830806866,4.0,,http://www.hp.com/,Available,2023-07-16,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
115561,Approved,DELL,P2219HC,,"Australia,Fiji,New Zealand",China,54.683,LCD (LED),60.0,0.28,6.04014740898524,6.0,,,Available,2023-07-18,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png
115562,Approved,DELL,P2419H,,"Australia,Fiji,New Zealand",China,60.468,LCD (LED),63.0,0.21,6.42428078404589,6.0,,,Available,2023-07-18,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png
