ApplStandard,Brand,Cap,Combination,Control,Country,Depth,Height,Model No,Family Name,N-Standard,New CEC,New SRI,New Star,Prog Name,Prog Time,Sold_in,SubmitStatus,Submit_ID,Test_Moist_Remove,Tot_Wat_Cons,Type,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Old Star Rating,Star Image Large,Star Image Small
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SAMSUNG ELECTRONICS,8,FALSE,Autosensing,South Korea,660,860,DV80H4100CW,,AS/NZS 2442.1:1996/Amdt 4:2006,353,2.127655707,2,"Drying Cotton Extra Dry, Drying Level High",196,"Australia,Fiji,New Zealand",Approved,86071,6.285,0,Condenser,600,28/11/19,,Single product class,Available,,http://www.samsung.com.au,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Stirling,6.5,FALSE,Timer,China,,,GYJ70-78F3E,,AS/NZS 2442.1:1996/Amdt 4:2006,287,2.123634491,2,"regular, extra dry program",209,"Australia,New Zealand",Approved,86136,5.073,,Vented,,10/12/19,,Single product class,Available,,http://www.tempoaustralia.com.au,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Stirling,4.5,FALSE,Timer,China,,,GYJ45-68,,AS/NZS 2442.1:1996/Amdt 4:2006,202,2.022044715,2,"High Heat, timer set to 200",169,"Australia,New Zealand",Approved,86311,3.529,,Vented,,15/12/19,,Single product class,Available,,http://www.tempoaustralia.com.au,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,AKAI,6.5,FALSE,Timer,China,,,GYJ70-78F3E,,AS/NZS 2442.1:1996/Amdt 4:2006,287,2.123634491,2,"regular, extra dry program",209,"Australia,New Zealand",Approved,86343,5.073,,Vented,,15/12/19,,Single product class,Available,,http://www.tempoaustralia.com.au,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SAMSUNG ELECTRONICS,5,TRUE,Autosensing,South Korea,700,850,WD10J8420GW,,AS/NZS 2442.1:1996/Amdt 4:2006,182,3.311873085,3,"Drying Cotton Dry, Cupboard, Spin 1400rpm",290,"Australia,Fiji,New Zealand",Approved,86403,3.937,37.962,Condenser,600,15/01/20,,Single product class,Available,,http://www.samsung.com.au,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Galanz,7,FALSE,Autosensing,China,555,850,DV-70Q1U,DV-70**U,AS/NZS 2442.1:1996/Amdt 4:2006,291,2.494464652,2,Cupboard+     ('Extra' for DV-T5U),140,"Australia,Fiji,New Zealand",Approved,86526,5.56,0,Vented,595,19/08/20,,Single product class,Available,http://www.galanz.com.cn/,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Galanz,7,FALSE,Autosensing,China,555,850,DV-70Q5U,DV-70**U,AS/NZS 2442.1:1996/Amdt 4:2006,291,2.494464652,2,Cupboard+     ('Extra' for DV-T5U),140,"Australia,Fiji,New Zealand",Approved,86526,5.56,0,Vented,595,19/08/20,,Single product class,Available,http://www.galanz.com.cn/,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Galanz,7,FALSE,Autosensing,China,555,850,DV-70T5U,DV-70**U,AS/NZS 2442.1:1996/Amdt 4:2006,291,2.494464652,2,Cupboard+     ('Extra' for DV-T5U),140,"Australia,Fiji,New Zealand",Approved,86526,5.56,0,Vented,595,19/08/20,,Single product class,Available,http://www.galanz.com.cn/,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Galanz,7,FALSE,Autosensing,China,555,850,DV-70**U,DV-70**U,AS/NZS 2442.1:1996/Amdt 4:2006,291,2.494464652,2,Cupboard+     ('Extra' for DV-T5U),140,"Australia,Fiji,New Zealand",Approved,86526,5.56,0,Vented,595,19/08/20,,Single product class,Available,http://www.galanz.com.cn/,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SPEED QUEEN,7,FALSE,Autosensing,United States of America,,,7kg Electric Dryers,7kg Electric Dryers,AS/NZS 2442.1:1996/Amdt 4:2006,331,1.701971688,1.5,"Perm Press, Temp High, Dryness Dry",90.1,"Australia,Fiji,New Zealand",Approved,86994,5.648,,Vented,,28/05/20,,Single product class,Available,http://www.comlaundry.com/,http://www.speedqueen.com,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SPEED QUEEN,7,FALSE,Autosensing,United States of America,,,ADEE8BWS433AW01,7kg Electric Dryers,AS/NZS 2442.1:1996/Amdt 4:2006,331,1.701971688,1.5,"Perm Press, Temp High, Dryness Dry",90.1,"Australia,Fiji,New Zealand",Approved,86994,5.648,,Vented,,28/05/20,,Single product class,Available,http://www.comlaundry.com/,http://www.speedqueen.com,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SPEED QUEEN,7,FALSE,Autosensing,United States of America,,,ADEE8RWS433AW01,7kg Electric Dryers,AS/NZS 2442.1:1996/Amdt 4:2006,331,1.701971688,1.5,"Perm Press, Temp High, Dryness Dry",90.1,"Australia,Fiji,New Zealand",Approved,86994,5.648,,Vented,,28/05/20,,Single product class,Available,http://www.comlaundry.com/,http://www.speedqueen.com,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SPEED QUEEN,7,FALSE,Autosensing,United States of America,,,ADEE9BSS433AN01,7kg Electric Dryers,AS/NZS 2442.1:1996/Amdt 4:2006,331,1.701971688,1.5,"Perm Press, Temp High, Dryness Dry",90.1,"Australia,Fiji,New Zealand",Approved,86994,5.648,,Vented,,28/05/20,,Single product class,Available,http://www.comlaundry.com/,http://www.speedqueen.com,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SPEED QUEEN,7,FALSE,Autosensing,United States of America,,,ADEE9RWS433AW01,7kg Electric Dryers,AS/NZS 2442.1:1996/Amdt 4:2006,331,1.701971688,1.5,"Perm Press, Temp High, Dryness Dry",90.1,"Australia,Fiji,New Zealand",Approved,86994,5.648,,Vented,,28/05/20,,Single product class,Available,http://www.comlaundry.com/,http://www.speedqueen.com,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SPEED QUEEN,7,FALSE,Autosensing,United States of America,,,ATEE9AWP433AW01,7kg Electric Dryers,AS/NZS 2442.1:1996/Amdt 4:2006,331,1.701971688,1.5,"Perm Press, Temp High, Dryness Dry",90.1,"Australia,Fiji,New Zealand",Approved,86994,5.648,,Vented,,28/05/20,,Single product class,Available,http://www.comlaundry.com/,http://www.speedqueen.com,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SPEED QUEEN,7,FALSE,Autosensing,United States of America,,,LDEE5BGS433AW01,7kg Electric Dryers,AS/NZS 2442.1:1996/Amdt 4:2006,331,1.701971688,1.5,"Perm Press, Temp High, Dryness Dry",90.1,"Australia,Fiji,New Zealand",Approved,86994,5.648,,Vented,,28/05/20,,Single product class,Available,http://www.comlaundry.com/,http://www.speedqueen.com,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SPEED QUEEN,7,FALSE,Autosensing,United States of America,,,LDEE7RWS433AW01,7kg Electric Dryers,AS/NZS 2442.1:1996/Amdt 4:2006,331,1.701971688,1.5,"Perm Press, Temp High, Dryness Dry",90.1,"Australia,Fiji,New Zealand",Approved,86994,5.648,,Vented,,28/05/20,,Single product class,Available,http://www.comlaundry.com/,http://www.speedqueen.com,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SPEED QUEEN,7,FALSE,Autosensing,United States of America,,,LTEE5ASP433AW01,7kg Electric Dryers,AS/NZS 2442.1:1996/Amdt 4:2006,331,1.701971688,1.5,"Perm Press, Temp High, Dryness Dry",90.1,"Australia,Fiji,New Zealand",Approved,86994,5.648,,Vented,,28/05/20,,Single product class,Available,http://www.comlaundry.com/,http://www.speedqueen.com,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,SPEED QUEEN,7,FALSE,Autosensing,United States of America,,,LTEE5ASP433AW12,7kg Electric Dryers,AS/NZS 2442.1:1996/Amdt 4:2006,331,1.701971688,1.5,"Perm Press, Temp High, Dryness Dry",90.1,"Australia,Fiji,New Zealand",Approved,86994,5.648,,Vented,,28/05/20,,Single product class,Available,http://www.comlaundry.com/,http://www.speedqueen.com,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,Euroclean,8,FALSE,Autosensing,China,630,850,ECGA8CD,,AS/NZS 2442.1:1996/Amdt 4:2006,326,2.617264368,2.5,Strong,210,"Australia,Fiji,New Zealand",Approved,87600,6.32,0,Condenser,595,05/02/20,,Single product class,Available,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png
